coin_name,value,date,time
Bitcoin,29949.37,2023-07-19,18:06:08
Bitcoin,29949.26,2023-07-19,18:06:49
Bitcoin,29949.26,2023-07-19,18:07:19
Bitcoin,29875.87,2023-07-19,18:47:23
Bitcoin,29875.87,2023-07-19,18:47:53
Ethereum,1893.34,2023-07-19,18:06:08
Ethereum,1893.43,2023-07-19,18:06:49
Ethereum,1893.43,2023-07-19,18:07:19
Ethereum,1888.51,2023-07-19,18:47:23
Ethereum,1888.51,2023-07-19,18:47:53
Tether,1.0,2023-07-19,18:06:08
Tether,1.0,2023-07-19,18:06:49
Tether,1.0,2023-07-19,18:07:19
Tether,0.999904,2023-07-19,18:47:23
Tether,0.999904,2023-07-19,18:47:53
Cardano,0.324402,2023-07-19,18:06:08
Cardano,0.324274,2023-07-19,18:06:49
Cardano,0.324274,2023-07-19,18:07:19
Cardano,0.321638,2023-07-19,18:47:23
Cardano,0.321638,2023-07-19,18:47:53
Solana,26.73,2023-07-19,18:06:08
Solana,26.72,2023-07-19,18:06:49
Solana,26.72,2023-07-19,18:07:19
Solana,26.37,2023-07-19,18:47:23
Solana,26.37,2023-07-19,18:47:53
